person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26,33000,RENT,7.0,MEDICAL,A,3000,5.99,0,0.09,N,4
27,12000,OWN,0.0,EDUCATION,D,8125,14.42,1,0.68,Y,5
24,42000,RENT,4.0,EDUCATION,A,10200,7.49,0,0.24,N,4
28,74000,MORTGAGE,6.0,EDUCATION,B,18000,10.75,0,0.24,N,5
23,94940,MORTGAGE,4.0,VENTURE,A,2000,5.42,0,0.02,N,3
25,150000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,15000,6.54,0,0.1,N,2
23,22800,RENT,5.0,EDUCATION,A,1775,6.99,0,0.08,N,4
22,31760,RENT,3.0,PERSONAL,B,12875,12.53,1,0.41,N,4
30,158000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,21000,12.42,0,0.13,N,8
22,33000,RENT,5.0,DEBTCONSOLIDATION,B,7800,10.99,0,0.24,N,3
22,51000,MORTGAGE,6.0,PERSONAL,B,7000,11.12,0,0.14,N,3
25,54499,MORTGAGE,2.0,HOMEIMPROVEMENT,A,12000,9.63,0,0.22,N,4
28,40000,RENT,2.0,MEDICAL,B,9000,12.53,0,0.23,N,5
26,81380,RENT,9.0,MEDICAL,B,14400,10.37,0,0.18,N,4
22,27500,RENT,1.0,EDUCATION,B,4250,10.99,0,0.15,N,4
25,24000,RENT,9.0,MEDICAL,B,4750,10.38,0,0.2,N,4
37,117000,MORTGAGE,3.0,PERSONAL,A,10000,8.94,0,0.09,N,11
24,60000,RENT,8.0,VENTURE,A,20000,,1,0.33,N,4
24,115000,OWN,8.0,DEBTCONSOLIDATION,D,35000,16.89,0,0.3,Y,4
24,69000,RENT,2.0,DEBTCONSOLIDATION,B,12000,10.2,1,0.17,N,4
28,34000,RENT,7.0,MEDICAL,B,9600,10.99,0,0.28,N,7
24,100800,MORTGAGE,8.0,MEDICAL,B,10800,10.75,0,0.11,N,4
37,133000,RENT,3.0,MEDICAL,C,9000,13.85,0,0.07,Y,12
32,37000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,12000,11.86,0,0.32,N,9
23,98000,MORTGAGE,3.0,VENTURE,A,10000,8.94,0,0.1,N,3
24,50000,OWN,5.0,DEBTCONSOLIDATION,D,15000,16.29,0,0.3,N,4
27,77000,MORTGAGE,11.0,VENTURE,B,18500,11.11,0,0.24,N,10
